type,human_label,comment
short,non toxic,follow me on instagram @33abhiram
short,non toxic,Cmon what are you doing?
short,non toxic,Did you vote for Obama?
short,non toxic,You're just plain wrong.
short,non toxic,I dont have any muslim friends
short,non toxic,I dont have any african american friends
short,non toxic,he passed away a couple days ago :(
short,non toxic,Americans have no general knowledge
short ,toxic,You're an absolute disgrace.
short ,toxic,wtf are you doing!
short ,toxic,You're a total waste of space.
short ,toxic,I wish u weren't allowed in our country!
short ,toxic,you are so retarded
short ,toxic,33abhiram his instagram feed is so horrific. 
short,toxic,Women should'nt be allowed to drive
short,toxic,I'm done with your bullshit
long,non toxic,How could you miss such a crucial day! Today is virat sirs birthday and your only job was to be present at the chinnaswamy stadium to watch him play. Your not a RCB fan anymore
long,non toxic,How can you say this! Trent Boult is probably the most inconsistent bowler of all time. Every Indian bowler would outperform him. I can't stand NZ players
long,non toxic,These days the police are doing a horrible job. Literally every black driver gets pulled over at night. This is such a disgrace!
long,non toxic,I think Afghanistan has the worst cricket team this year. Like every player is so average. India is so much better!
long,non toxic,"If the Taliban did not invade Afghanistan, they would easily be the best team in the league. The attacks surely messed up their cricket board."
long,non toxic,This whole thread is a joke. The lack of common sense in these comments is beyond belief. Can't take this nonsense anymore!
long,non toxic,I cant stand you! You really need to work on yourself. Please leave this thread and come back when you're mature
long,non toxic,Lol this is so freaking funny! The average salary of a WNBA player is less than that of a high school teacher at my school. I'm actually dying haha.
long,toxic,"This is ridiculous! Can't believe people are so ignorant about this issue. It's a joke, and this discussion is a waste of time."
long,toxic,Your opinion is totally baseless and lacks any logic. It's sad to see such low IQ people on this blog. Go educate yourself please.
long,toxic,Why bother discussing this when there's a clear right answer? The ignorance here is astonishing. Arguing with uncultured people like you is such a waste of time!
long,toxic,I'm so tired of hearing your pointless opinions. Can't believe you actually think this way. Go educate yourself!
long,toxic,Your whole instagram feed is hilarious. The fact that you post those kinds of explicit pictures is astounding. How could you drop so low and be so shameless!
long,toxic,I really do not think that women should be allowed to drive. Literally 4 out of 5 car accidents are caused by female drivers. Get you facts straight!
long,toxic,Pakistani players should be banned from the IPL because they are from PAKISTAN. They don't deserve to step foot in India!
long,toxic,Women Basketball players are literally so average no wonder nobody watches their games. Get your facts straight! Women are horrible at basketball
